04:56:36 doubler_9060XT=6% game_9070XT=0%
04:56:39 doubler_9060XT=6% game_9070XT=0%
04:56:42 doubler_9060XT=6% game_9070XT=0%
04:56:45 doubler_9060XT=6% game_9070XT=0%
04:56:48 doubler_9060XT=6% game_9070XT=0%
04:56:51 doubler_9060XT=6% game_9070XT=0%
04:56:54 doubler_9060XT=6% game_9070XT=0%
04:56:57 doubler_9060XT=6% game_9070XT=0%
04:57:00 doubler_9060XT=6% game_9070XT=0%
04:57:03 doubler_9060XT=6% game_9070XT=0%
04:57:06 doubler_9060XT=6% game_9070XT=0%
04:57:09 doubler_9060XT=6% game_9070XT=0%
04:57:12 doubler_9060XT=6% game_9070XT=0%
04:57:15 doubler_9060XT=6% game_9070XT=0%
04:57:18 doubler_9060XT=6% game_9070XT=0%
04:57:21 doubler_9060XT=6% game_9070XT=0%
04:57:24 doubler_9060XT=6% game_9070XT=0%
04:57:27 doubler_9060XT=6% game_9070XT=0%
04:57:30 doubler_9060XT=6% game_9070XT=0%
04:57:33 doubler_9060XT=6% game_9070XT=0%
04:57:36 doubler_9060XT=6% game_9070XT=0%
04:57:39 doubler_9060XT=6% game_9070XT=0%
04:57:42 doubler_9060XT=6% game_9070XT=0%
04:57:45 doubler_9060XT=6% game_9070XT=0%
04:57:48 doubler_9060XT=6% game_9070XT=0%
04:57:51 doubler_9060XT=6% game_9070XT=0%
04:57:54 doubler_9060XT=6% game_9070XT=0%
04:57:57 doubler_9060XT=6% game_9070XT=0%
04:58:00 doubler_9060XT=7% game_9070XT=0%
04:58:03 doubler_9060XT=6% game_9070XT=0%
04:58:06 doubler_9060XT=6% game_9070XT=0%
04:58:09 doubler_9060XT=6% game_9070XT=0%
04:58:12 doubler_9060XT=7% game_9070XT=0%
04:58:15 doubler_9060XT=6% game_9070XT=0%
04:58:18 doubler_9060XT=6% game_9070XT=0%
04:58:21 doubler_9060XT=6% game_9070XT=0%
04:58:24 doubler_9060XT=6% game_9070XT=0%
04:58:27 doubler_9060XT=6% game_9070XT=0%
04:58:30 doubler_9060XT=6% game_9070XT=0%
04:58:33 doubler_9060XT=6% game_9070XT=0%
04:58:36 doubler_9060XT=6% game_9070XT=0%
04:58:39 doubler_9060XT=6% game_9070XT=0%
04:58:42 doubler_9060XT=6% game_9070XT=0%
04:58:45 doubler_9060XT=6% game_9070XT=0%
04:58:48 doubler_9060XT=6% game_9070XT=0%
04:58:51 doubler_9060XT=6% game_9070XT=0%
04:58:54 doubler_9060XT=6% game_9070XT=0%
04:58:57 doubler_9060XT=6% game_9070XT=0%
04:59:01 doubler_9060XT=6% game_9070XT=0%
04:59:04 doubler_9060XT=6% game_9070XT=0%
04:59:07 doubler_9060XT=6% game_9070XT=0%
04:59:10 doubler_9060XT=6% game_9070XT=0%
04:59:13 doubler_9060XT=6% game_9070XT=0%
04:59:16 doubler_9060XT=6% game_9070XT=0%
04:59:19 doubler_9060XT=6% game_9070XT=0%
04:59:22 doubler_9060XT=6% game_9070XT=0%
04:59:25 doubler_9060XT=6% game_9070XT=0%
04:59:28 doubler_9060XT=6% game_9070XT=0%
04:59:31 doubler_9060XT=6% game_9070XT=0%
04:59:34 doubler_9060XT=6% game_9070XT=0%
04:59:37 doubler_9060XT=6% game_9070XT=0%
04:59:40 doubler_9060XT=6% game_9070XT=0%
04:59:43 doubler_9060XT=7% game_9070XT=0%
04:59:46 doubler_9060XT=6% game_9070XT=0%
04:59:49 doubler_9060XT=6% game_9070XT=0%
04:59:52 doubler_9060XT=6% game_9070XT=0%
04:59:55 doubler_9060XT=6% game_9070XT=0%
04:59:58 doubler_9060XT=6% game_9070XT=0%
05:00:01 doubler_9060XT=6% game_9070XT=0%
05:00:04 doubler_9060XT=6% game_9070XT=0%
05:00:07 doubler_9060XT=6% game_9070XT=0%
05:00:10 doubler_9060XT=6% game_9070XT=0%
05:00:13 doubler_9060XT=6% game_9070XT=0%
05:00:16 doubler_9060XT=6% game_9070XT=0%
05:00:19 doubler_9060XT=6% game_9070XT=0%
05:00:22 doubler_9060XT=6% game_9070XT=0%
05:00:25 doubler_9060XT=6% game_9070XT=0%
05:00:28 doubler_9060XT=6% game_9070XT=0%
05:00:31 doubler_9060XT=6% game_9070XT=0%
05:00:34 doubler_9060XT=6% game_9070XT=0%
05:00:37 doubler_9060XT=6% game_9070XT=0%
05:00:40 doubler_9060XT=6% game_9070XT=0%
05:00:43 doubler_9060XT=6% game_9070XT=0%
05:00:46 doubler_9060XT=6% game_9070XT=0%
05:00:49 doubler_9060XT=6% game_9070XT=0%
05:00:52 doubler_9060XT=6% game_9070XT=0%
05:00:55 doubler_9060XT=6% game_9070XT=0%
05:00:58 doubler_9060XT=6% game_9070XT=0%
05:01:01 doubler_9060XT=6% game_9070XT=0%
05:01:04 doubler_9060XT=6% game_9070XT=0%
05:01:07 doubler_9060XT=6% game_9070XT=0%
05:01:10 doubler_9060XT=6% game_9070XT=0%
05:01:13 doubler_9060XT=6% game_9070XT=0%
